"PRESSURE1","TEMPERATURE1","STRESS_XX","STRESS_XY","STRESS_YY","STRESS_ZZ","STRAIN_XX","STRAIN_XY","STRAIN_YY","STRAIN_ZZ","STRAIN_PLS","DILATANCY","NODAL_VELOCITY1:0","NODAL_VELOCITY1:1","NODAL_VELOCITY1:2","DISPLACEMENT:0","DISPLACEMENT:1","DISPLACEMENT:2","DENSITY","VISCOSITY","SPECIFIC_HEAT_CAPACITY","HEAT_CONDUCTIVITY","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.278000000000000e-01,5.231500000000000e+02,1.211692499548000e-01,2.232859016747000e-05,1.190807524369000e-01,1.722308796773000e-03,7.394334452638000e-03,2.764492115972000e-06,7.265046511058000e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.503199999999999e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.276721999939296e-01,5.229499999903776e+02,1.210533926147943e-01,2.007281698011177e-05,1.190789070397273e-01,1.743942666552922e-03,7.385823092032265e-03,2.485205911822909e-06,7.263593032627586e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998002e+01,3.257696823238804e-15,0.000000000000000e+00,7.247123287629363e-06,0.000000000000000e+00,0.000000000000000e+00,9.503614000019915e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,1.000000047497451e-03,1.000000047497451e-03,0.000000000000000e+00,0.000000000000000e+00
1.275443999878591e-01,5.227499999807552e+02,1.209375352747887e-01,1.781704379275353e-05,1.190770616425547e-01,1.765576536332844e-03,7.377311731426530e-03,2.205919707673818e-06,7.262139554197171e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999997999e+01,6.515393646477608e-15,0.000000000000000e+00,1.449424657525873e-05,0.000000000000000e+00,0.000000000000000e+00,9.504028000039829e-07,1.278000000000000e-09,4.680000000000000e+03,5.999999999999999e-01,1,2.000000094994903e-03,2.000000094994903e-03,0.000000000000000e+00,0.000000000000000e+00
1.274165999966666e-01,5.225499999944159e+02,1.208216779482706e-01,1.556127086800185e-05,1.190752162455969e-01,1.787210403594252e-03,7.368800371811647e-03,1.926633536037919e-06,7.260686075935963e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,9.773090090470606e-15,0.000000000000000e+00,2.174136901921194e-05,0.000000000000000e+00,0.000000000000000e+00,9.504442000011548e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,3.000000026077032e-03,3.000000026077032e-03,0.000000000000000e+00,0.000000000000000e+00
1.272887999757183e-01,5.223499999615104e+02,1.207058205947774e-01,1.330549741803707e-05,1.190733708482094e-01,1.808844275892688e-03,7.360289010215060e-03,1.647347299375637e-06,7.259232597336342e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998002e+01,1.303078729295522e-14,0.000000000000000e+00,2.898849315051745e-05,0.000000000000000e+00,0.000000000000000e+00,9.504856000079658e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,4.000000189989805e-03,4.000000189989805e-03,0.000000000000000e+00,0.000000000000000e+00
1.271610000142815e-01,5.221500000217372e+02,1.205899632952344e-01,1.104972501849848e-05,1.190715254516812e-01,1.830478138117068e-03,7.351777652581883e-03,1.368061192766121e-06,7.257779119413549e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999997999e+01,1.628848297845660e-14,0.000000000000000e+00,3.623561390711837e-05,0.000000000000000e+00,0.000000000000000e+00,9.505269999954985e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,4.999999888241291e-03,4.999999888241291e-03,0.000000000000000e+00,0.000000000000000e+00
1.270331999933332e-01,5.219499999888318e+02,1.204741059417412e-01,8.793951568533698e-06,1.190696800542937e-01,1.852112010415504e-03,7.343266290985296e-03,1.088774956103839e-06,7.256325640813927e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,1.954618018094121e-14,0.000000000000000e+00,4.348273803842388e-05,0.000000000000000e+00,0.000000000000000e+00,9.505684000023096e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,6.000000052154064e-03,6.000000052154064e-03,0.000000000000000e+00,0.000000000000000e+00
1.269053999723849e-01,5.217499999559263e+02,1.203582485882480e-01,6.538178118568915e-06,1.190678346569063e-01,1.873745882713940e-03,7.334754929388708e-03,8.094887194415558e-07,7.254872162214306e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998002e+01,2.280387738342582e-14,0.000000000000000e+00,5.072986216972940e-05,0.000000000000000e+00,0.000000000000000e+00,9.506098000091208e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000001e-01,1,7.000000216066837e-03,7.000000216066837e-03,0.000000000000000e+00,0.000000000000000e+00
1.267775999514366e-01,5.215499999230209e+02,1.202423912347547e-01,4.282404668604130e-06,1.190659892595188e-01,1.895379755012375e-03,7.326243567792120e-03,5.302024827792730e-07,7.253418683614684e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,2.606157458591043e-14,0.000000000000000e+00,5.797698630103491e-05,0.000000000000000e+00,0.000000000000000e+00,9.506512000159317e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,8.000000379979610e-03,8.000000379979610e-03,0.000000000000000e+00,0.000000000000000e+00
1.266498000495113e-01,5.213500000763800e+02,1.201265339891621e-01,2.026633319491743e-06,1.190641438638499e-01,1.917013607162701e-03,7.317732214122355e-03,2.509165062225248e-07,7.251965206368720e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,2.931926875442859e-14,0.000000000000000e+00,6.522410368293123e-05,0.000000000000000e+00,0.000000000000000e+00,9.506925999841861e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,8.999999612569809e-03,8.999999612569809e-03,0.000000000000000e+00,0.000000000000000e+00
1.265220000285630e-01,5.211500000434744e+02,1.200106766356688e-01,-2.291401304730422e-07,1.190622984664624e-01,1.938647479461136e-03,7.309220852525767e-03,-2.836973043975802e-08,7.250511727769098e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999997999e+01,3.257696595691320e-14,0.000000000000000e+00,7.247122781423673e-05,0.000000000000000e+00,0.000000000000000e+00,9.507339999909970e-07,1.278000000000000e-09,4.680000000000000e+03,5.999999999999999e-01,1,9.999999776482582e-03,9.999999776482582e-03,0.000000000000000e+00,0.000000000000000e+00
1.263942000076146e-01,5.209500000105689e+02,1.198948192821756e-01,-2.484913580437824e-06,1.190604530690750e-01,1.960281351759571e-03,7.300709490929179e-03,-3.076559671020400e-07,7.249058249169476e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,3.583466315939781e-14,0.000000000000000e+00,7.971835194554223e-05,0.000000000000000e+00,0.000000000000000e+00,9.507753999978082e-07,1.278000000000000e-09,4.680000000000000e+03,5.999999999999999e-01,1,1.099999994039536e-02,1.099999994039536e-02,0.000000000000000e+00,0.000000000000000e+00
1.262663999866664e-01,5.207499999776635e+02,1.197789619286824e-01,-4.740687030402606e-06,1.190586076716875e-01,1.981915224058008e-03,7.292198129332591e-03,-5.869422037643229e-07,7.247604770569856e-03,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,9.999999999998001e+01,3.909236036188242e-14,0.000000000000000e+00,8.696547607684776e-05,0.000000000000000e+00,0.000000000000000e+00,9.508168000046193e-07,1.278000000000000e-09,4.680000000000000e+03,6.000000000000000e-01,1,1.200000010430813e-02,1.200000010430813e-02,0.000000000000000e+00,0.000000000000000e+00
